mark,model,generation_name,year,mileage,vol_engine,fuel,price
audi,a3,gen-8p-2003-2012,2008,179000,1798,Gasoline,29900
audi,a3,gen-8p-2003-2012,2005,165000,1984,Gasoline,25900
audi,a3,gen-8p-2003-2012,2007,220000,1598,Gasoline,26500
audi,a3,gen-8p-2003-2012,2003,220000,1595,Gasoline,13900
audi,a3,gen-8p-2003-2012,2009,150000,1595,Gasoline,28800
audi,a3,gen-8p-2003-2012,2003,214873,1595,Gasoline,11500
audi,a3,gen-8p-2003-2012,2006,271000,1968,Diesel,18200
audi,a3,gen-8p-2003-2012,2009,219000,1798,Gasoline,22900
audi,a3,gen-8p-2003-2012,2008,328015,1968,Diesel,20499
audi,a3,gen-8p-2003-2012,2005,270000,1984,Gasoline,21900
audi,a3,gen-8p-2003-2012,2008,170000,1595,Gasoline,23900
audi,a3,gen-8p-2003-2012,2003,155299,1595,Gasoline,15400
audi,a3,gen-8p-2003-2012,2003,230000,1968,Diesel,11500
audi,a3,gen-8p-2003-2012,2006,260000,1595,Gasoline,17900
audi,a3,gen-8p-2003-2012,2004,213750,1595,Gasoline,14500
audi,a3,gen-8p-2003-2012,2009,185600,1896,Diesel,21000
audi,a3,gen-8p-2003-2012,2009,200531,1798,LPG,21000
audi,a3,gen-8p-2003-2012,2003,254921,1984,Gasoline,9500
audi,a3,gen-8p-2003-2012,2012,161000,1598,Diesel,29999
audi,a3,gen-8p-2003-2012,2005,140000,1984,Gasoline,25500
audi,a3,gen-8p-2003-2012,2009,247000,1896,Diesel,26900
audi,a3,gen-8p-2003-2012,2006,194000,1968,Diesel,21900
audi,a3,gen-8p-2003-2012,2011,172500,1598,Diesel,24900
audi,a3,gen-8p-2003-2012,2005,180000,1595,Gasoline,15900
audi,a3,gen-8p-2003-2012,2009,219594,1595,Gasoline,23900
audi,a3,gen-8p-2003-2012,2005,201305,1595,Gasoline,10000
audi,a3,gen-8p-2003-2012,2009,199000,1390,Gasoline,26750
audi,a3,gen-8p-2003-2012,2005,455000,1968,Diesel,13400
audi,a3,gen-8p-2003-2012,2006,208607,1595,Gasoline,19700
audi,a3,gen-8p-2003-2012,2006,280400,1968,Diesel,22900
audi,a3,gen-8p-2003-2012,2006,134000,1595,Gasoline,17400
audi,a3,gen-8p-2003-2012,2010,160000,1595,Gasoline,33900
audi,a3,gen-8p-2003-2012,2011,200000,1984,Gasoline,34900
audi,a3,gen-8p-2003-2012,2008,271000,1968,Diesel,29000
audi,a3,gen-8p-2003-2012,2011,280000,1968,Diesel,26900
audi,a3,gen-8p-2003-2012,2009,238000,1968,Diesel,28500
audi,a3,gen-8p-2003-2012,2011,307432,1968,Diesel,29900
audi,a3,gen-8p-2003-2012,2008,233000,1968,Diesel,20900
audi,a3,gen-8p-2003-2012,2009,200000,1595,Gasoline,20900
audi,a3,gen-8p-2003-2012,2003,279900,1968,Diesel,9650
audi,a3,gen-8p-2003-2012,2007,173000,1595,Gasoline,18500
audi,a3,gen-8p-2003-2012,2006,277000,1968,Diesel,19600
audi,a3,gen-8p-2003-2012,2008,189877,1984,Gasoline,31900
audi,a3,gen-8p-2003-2012,2012,212000,1598,Diesel,34900
audi,a3,gen-8p-2003-2012,2012,185000,1197,Gasoline,25900
audi,a3,gen-8p-2003-2012,2011,152000,1598,Diesel,27500
audi,a3,gen-8p-2003-2012,2010,199256,1968,Diesel,26999
